"","plot_ID","Lat","Lon"
"1","F2P11",9.57305148791816,49.8305510439759
"2","F2P12",9.57340101590063,49.8300041195117
"3","F2P13",9.57319190532841,49.8299285879901
"4","F2P14",9.57263137010776,49.830070294358
"5","F2P15",9.57265628051305,49.8301218521393
"6","F2P16",9.57612121806339,49.8296989993293
"7","F2P17",9.57595067487805,49.8296852553785
"8","F2P18",9.57567762809449,49.8297875276512
"9","F2P21",9.58458594498981,49.8117795086603
"10","F2P22",9.58499221687547,49.8114257426421
"11","F2P23",9.58641048740586,49.8108498819778
