"","Lat","Lon"
"2",9.59491331929621,49.8371796312544
"3",9.59090263783977,49.8359342934198
"4",9.59240642904304,49.8345300344226
"5",9.58862199141737,49.828985460893
"6",9.58556761720606,49.829089631972
"7",9.58813786865357,49.8231752456043
"8",9.59721756407889,49.8171172629853
"9",9.5830394304756,49.8242093582473
"10",9.59446954239924,49.808122319807
"11",9.59052786577856,49.8093710064844
"12",9.58760298425228,49.8100127893556
"13",9.58742476143872,49.8097166460775
"14",9.5863331821801,49.8107260867974
"15",9.5820329711547,49.8129690744749
"16",9.58066525826722,49.8138498842563
"17",9.57748797345657,49.8169907938921
"18",9.57639656353838,49.8184783372273
"19",9.57387907121641,49.8215654833437
"20",9.57384569066602,49.8240419574856
"21",9.57373523091429,49.8264539875202
"22",9.57561447475995,49.8296062281995
"23",9.57555733754158,49.8298961589071
"24",9.57534180147084,49.8302289209777
"25",9.57182510051585,49.8320999286875
"26",9.57479393258039,49.8313865256934
"27",9.58575520375405,49.8378998068892
